# Frequency(Hz) Real(n) Imag(n)
5.367065250780184174e+10 1.949496176723868102e+00 1.270367198005219363e-02
5.524920111097248077e+10 1.951775234110805002e+00 2.379432079959213978e-02
5.682774971414312744e+10 1.958667006404640532e+00 3.527600457495599917e-02
5.840629831731376648e+10 1.971664581338381517e+00 4.366594825855133616e-02
5.998484692048441315e+10 1.987185760132856194e+00 4.366759913496713608e-02
6.156339552365505219e+10 1.998082646359080616e+00 3.721430535362108688e-02
6.314194412682569885e+10 2.003827932414377511e+00 2.968306643636785952e-02
6.472049272999633789e+10 2.006502450555364803e+00 2.299201451920886846e-02
6.629904133316697693e+10 2.007462691210633920e+00 1.735805921552673048e-02
6.787758993633762360e+10 2.007397379426877571e+00 1.263807899862653267e-02
6.945613853950827026e+10 2.006656270852716251e+00 8.673454046109493540e-03
7.103468714267890930e+10 2.005431748475035469e+00 5.351560168625976027e-03
7.261323574584954834e+10 2.003845192769162953e+00 2.602127062631364590e-03
7.419178434902018738e+10 2.001986294710568437e+00 3.827769037210055096e-04
7.577033295219082642e+10 1.999930076626043496e+00 -1.333223989299713464e-03
7.734888155536148071e+10 1.997743745872749388e+00 -2.564780442336090510e-03
7.892743015853211975e+10 1.995489349524668388e+00 -3.326915033674706854e-03
8.050597876170275879e+10 1.993225232455349438e+00 -3.631898899915588820e-03
8.208452736487339783e+10 1.991007982545193844e+00 -3.488493478596287230e-03
8.366307596804405212e+10 1.988896188332084813e+00 -2.900104297354081598e-03
8.524162457121469116e+10 1.986957647228488444e+00 -1.862931951668297731e-03
8.682017317438533020e+10 1.985282463439021816e+00 -3.665633335293234430e-04
8.839872177755596924e+10 1.984005080642689212e+00 1.596629964308558802e-03
8.997727038072660828e+10 1.983335296583979446e+00 3.997455551338471857e-03
9.155581898389726257e+10 1.983577799513945639e+00 6.678496222518664864e-03
9.313436758706790161e+10 1.985042674971176258e+00 9.177430587166059139e-03
9.471291619023854065e+10 1.987638308787747166e+00 1.064209912862582041e-02
9.629146479340917969e+10 1.990414995658824848e+00 1.045572493296883197e-02
9.787001339657983398e+10 1.992304912326410715e+00 9.090143290869679218e-03
9.944856199975047302e+10 1.993129745853064572e+00 7.449133383223022903e-03
1.010271106029211121e+11 1.993237024883993014e+00 6.018145721925948627e-03
1.026056592060917511e+11 1.992963365808427367e+00 4.904211685616303648e-03
1.041842078092623901e+11 1.992509445979818272e+00 4.068564113332787807e-03
1.057627564124330444e+11 1.991973564625212578e+00 3.445980354092175249e-03
1.073413050156036835e+11 1.991397503845952599e+00 2.983772021393498505e-03
1.089198536187743225e+11 1.990796731631760741e+00 2.648729424390615372e-03
1.104984022219449615e+11 1.990177057688970574e+00 2.424069777661278739e-03
1.120769508251156158e+11 1.989542988229793918e+00 2.304405070367715816e-03
1.136554994282862549e+11 1.988901516328523522e+00 2.291275561293345739e-03
1.152340480314568939e+11 1.988263602058122803e+00 2.389866264843842208e-03
1.168125966346275330e+11 1.987644692235597255e+00 2.606880273542996201e-03
1.183911452377981720e+11 1.987065167415155376e+00 2.949322592617865686e-03
1.199696938409688263e+11 1.986551437975716317e+00 3.423806477405899260e-03
1.215482424441394653e+11 1.986138460012428553e+00 4.035710676681831741e-03
1.231267910473101044e+11 1.985874612005109618e+00 4.786766469819460704e-03
1.247053396504807434e+11 1.985829765854115303e+00 5.667753784306094229e-03
1.262838882536513977e+11 1.986105163419377817e+00 6.638669254805560152e-03
1.278624368568220367e+11 1.986832273296202045e+00 7.581875387971017365e-03
1.294409854599926758e+11 1.988109076254052088e+00 8.221576010258233036e-03
1.310195340631633148e+11 1.989777689588992260e+00 8.115175835792751494e-03
1.325980826663339539e+11 1.991217954820363678e+00 7.031484131841473674e-03
