# Frequency(Hz) n_real k_imag
2.052113e+11 1.999812e+00 -1.692127e-02
2.067899e+11 1.994783e+00 -1.806112e-02
2.083684e+11 1.989787e+00 -1.803412e-02
2.099470e+11 1.985066e+00 -1.690455e-02
2.115255e+11 1.980844e+00 -1.481596e-02
2.131041e+11 1.977274e+00 -1.195697e-02
2.146826e+11 1.974428e+00 -8.517690e-03
2.162612e+11 1.972318e+00 -4.654319e-03
2.178397e+11 1.970928e+00 -4.698895e-04
2.194183e+11 1.970241e+00 3.992414e-03
2.209968e+11 1.970272e+00 8.737601e-03
2.225754e+11 1.971110e+00 1.389910e-02
2.241539e+11 1.972992e+00 1.962619e-02
2.257325e+11 1.976538e+00 2.632249e-02
2.273110e+11 1.983956e+00 3.484265e-02
2.288895e+11 2.004318e+00 3.564451e-02
2.304681e+11 2.011912e+00 2.361147e-02
2.320466e+11 2.014041e+00 1.486147e-02
2.336252e+11 2.014183e+00 7.840813e-03
2.352037e+11 2.013124e+00 1.957041e-03
2.367823e+11 2.011171e+00 -3.025164e-03
2.383608e+11 2.008492e+00 -7.181727e-03
2.399394e+11 2.005216e+00 -1.050442e-02
2.415179e+11 2.001487e+00 -1.294525e-02
2.430965e+11 1.997479e+00 -1.445570e-02
2.446750e+11 1.993392e+00 -1.502078e-02
2.462536e+11 1.989434e+00 -1.468106e-02
2.478321e+11 1.985787e+00 -1.353427e-02
2.494107e+11 1.982586e+00 -1.171639e-02
2.509892e+11 1.979903e+00 -9.373000e-03
2.525678e+11 1.977767e+00 -6.632833e-03
2.541463e+11 1.976171e+00 -3.591246e-03
2.557249e+11 1.975103e+00 -3.030977e-04
2.573034e+11 1.974560e+00 3.218159e-03
2.588820e+11 1.974571e+00 7.001628e-03
2.604605e+11 1.975228e+00 1.112553e-02
2.620391e+11 1.976751e+00 1.573853e-02
2.636176e+11 1.979688e+00 2.111461e-02
2.651962e+11 1.985878e+00 2.767612e-02
2.667747e+11 2.001078e+00 2.847832e-02
2.683533e+11 2.007871e+00 1.923952e-02
2.699318e+11 2.009850e+00 1.204298e-02
2.715104e+11 2.010045e+00 6.220174e-03
2.730889e+11 2.009190e+00 1.331000e-03
2.746675e+11 2.007576e+00 -2.800017e-03
2.762460e+11 2.005357e+00 -6.241695e-03
2.778246e+11 2.002650e+00 -8.994509e-03
2.794031e+11 1.999572e+00 -1.102745e-02
2.809817e+11 1.996261e+00 -1.230677e-02
2.825602e+11 1.992873e+00 -1.282109e-02
2.841387e+11 1.989571e+00 -1.259842e-02
2.857173e+11 1.986499e+00 -1.170883e-02
2.872958e+11 1.983769e+00 -1.025289e-02
2.888744e+11 1.981448e+00 -8.341290e-03
2.904529e+11 1.979566e+00 -6.074960e-03
2.920315e+11 1.978127e+00 -3.531025e-03
2.936100e+11 1.977129e+00 -7.559455e-04
2.951886e+11 1.976572e+00 2.237041e-03
2.967671e+11 1.976484e+00 5.469274e-03
2.983457e+11 1.976942e+00 9.003277e-03
2.999242e+11 1.978125e+00 1.295684e-02
3.015028e+11 1.980468e+00 1.754671e-02
3.030813e+11 1.985339e+00 2.310546e-02
3.046599e+11 1.997715e+00 2.533160e-02
