# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -740.00000000 ps, Average over 1000 waveforms. Timestamp: 2026-02-04T14:32:58
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-732.44224422	0.00066225
-732.40924092	0.00076865
-732.37623762	0.00065913
-732.34323432	0.00080981
-732.31023102	0.00082687
-732.27722772	0.00069129
-732.24422442	0.00089236
-732.21122112	0.00093811
-732.17821782	0.00072099
-732.14521452	0.00090149
-732.11221122	0.00079687
-732.07920792	0.00084228
-732.04620462	0.00087655
-732.01320132	0.00089123
-731.98019802	0.00080430
-731.94719472	0.00091165
-731.91419142	0.00088084
-731.88118812	0.00073755
-731.84818482	0.00091077
-731.81518152	0.00085314
-731.78217822	0.00082673
-731.74917492	0.00087436
-731.71617162	0.00085295
-731.68316832	0.00080867
-731.65016502	0.00078001
-731.61716172	0.00080145
-731.58415842	0.00077586
-731.55115512	0.00078198
-731.51815182	0.00074264
-731.48514851	0.00075675
-731.45214521	0.00079686
-731.41914191	0.00072917
-731.38613861	0.00073167
-731.35313531	0.00072554
-731.32013201	0.00072975
-731.28712871	0.00065540
-731.25412541	0.00056971
-731.22112211	0.00073141
-731.18811881	0.00066962
-731.15511551	0.00063444
-731.12211221	0.00064345
-731.08910891	0.00063387
-731.05610561	0.00058356
-731.02310231	0.00056426
-730.99009901	0.00057266
-730.95709571	0.00059155
-730.92409241	0.00061380
-730.89108911	0.00061663
-730.85808581	0.00054495
-730.82508251	0.00054541
-730.79207921	0.00057129
-730.75907591	0.00053646
-730.72607261	0.00052463
-730.69306931	0.00052761
-730.66006601	0.00059219
-730.62706271	0.00051431
-730.59405941	0.00055069
-730.56105611	0.00056895
-730.52805281	0.00060278
-730.49504950	0.00053411
-730.46204620	0.00070922
-730.42904290	0.00048413
-730.39603960	0.00067419
-730.36303630	0.00065007
-730.33003300	0.00071204
-730.29702970	0.00070026
-730.26402640	0.00064545
-730.23102310	0.00080470
-730.19801980	0.00077133
-730.16501650	0.00080337
-730.13201320	0.00079607
-730.09900990	0.00089310
-730.06600660	0.00090783
-730.03300330	0.00092272
-730.00000000	0.00092138
-729.96699670	0.00100780
-729.93399340	0.00110887
-729.90099010	0.00096391
-729.86798680	0.00112091
-729.83498350	0.00113005
-729.80198020	0.00112047
-729.76897690	0.00116287
-729.73597360	0.00123818
-729.70297030	0.00116460
-729.66996700	0.00117464
-729.63696370	0.00128564
-729.60396040	0.00114010
-729.57095710	0.00113165
-729.53795380	0.00111101
-729.50495050	0.00106490
-729.47194719	0.00103037
-729.43894389	0.00091464
-729.40594059	0.00081730
-729.37293729	0.00076278
-729.33993399	0.00059081
-729.30693069	0.00050132
-729.27392739	0.00031983
-729.24092409	0.00022113
-729.20792079	-0.00002692
-729.17491749	-0.00017245
-729.14191419	-0.00038134
-729.10891089	-0.00047514
-729.07590759	-0.00076928
-729.04290429	-0.00083875
-729.00990099	-0.00107260
-728.97689769	-0.00119540
-728.94389439	-0.00139189
-728.91089109	-0.00146113
-728.87788779	-0.00153135
-728.84488449	-0.00176907
-728.81188119	-0.00176738
-728.77887789	-0.00172962
-728.74587459	-0.00183663
-728.71287129	-0.00178884
-728.67986799	-0.00184708
-728.64686469	-0.00170187
-728.61386139	-0.00162741
-728.58085809	-0.00159323
-728.54785479	-0.00134451
-728.51485149	-0.00107322
-728.48184818	-0.00082649
-728.44884488	-0.00069072
-728.41584158	-0.00025449
-728.38283828	0.00008623
-728.34983498	0.00041302
-728.31683168	0.00073281
-728.28382838	0.00103757
-728.25082508	0.00131849
-728.21782178	0.00156980
-728.18481848	0.00174222
-728.15181518	0.00183738
-728.11881188	0.00191970
-728.08580858	0.00192750
-728.05280528	0.00185384
-728.01980198	0.00182713
-727.98679868	0.00168858
-727.95379538	0.00159164
-727.92079208	0.00143978
