# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -740.00000000 ps, Average over 1000 waveforms. Timestamp: 2026-02-03T16:31:50
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-740.00000000	0.00003471
-739.96699670	0.00012757
-739.93399340	0.00008894
-739.90099010	0.00003130
-739.86798680	0.00000813
-739.83498350	0.00004995
-739.80198020	-0.00002907
-739.76897690	-0.00005560
-739.73597360	-0.00011388
-739.70297030	0.00000035
-739.66996700	-0.00007303
-739.63696370	-0.00002405
-739.60396040	-0.00004769
-739.57095710	-0.00004505
-739.53795380	-0.00016806
-739.50495050	0.00004312
-739.47194719	0.00010114
-739.43894389	-0.00008665
-739.40594059	-0.00003166
-739.37293729	0.00000265
-739.33993399	-0.00001169
-739.30693069	0.00004223
-739.27392739	-0.00001811
-739.24092409	-0.00000856
-739.20792079	0.00009617
-739.17491749	0.00000863
-739.14191419	-0.00008295
-739.10891089	-0.00000348
-739.07590759	0.00006377
-739.04290429	0.00010086
-739.00990099	0.00008767
-738.97689769	0.00012366
-738.94389439	0.00009600
-738.91089109	0.00015733
-738.87788779	0.00017568
-738.84488449	0.00011529
-738.81188119	0.00012065
-738.77887789	0.00018505
-738.74587459	0.00010618
-738.71287129	0.00014435
-738.67986799	0.00019661
-738.64686469	0.00023988
-738.61386139	0.00024410
-738.58085809	0.00020564
-738.54785479	0.00023178
-738.51485149	0.00017564
-738.48184818	0.00014424
-738.44884488	0.00013353
-738.41584158	0.00020189
-738.38283828	0.00024290
-738.34983498	0.00029077
-738.31683168	0.00019015
-738.28382838	0.00018214
-738.25082508	0.00030543
-738.21782178	0.00021091
-738.18481848	0.00027724
-738.15181518	0.00025851
-738.11881188	0.00020018
-738.08580858	0.00019837
-738.05280528	0.00032153
-738.01980198	0.00028177
-737.98679868	0.00035046
-737.95379538	0.00033760
-737.92079208	0.00038427
-737.88778878	0.00030308
-737.85478548	0.00031926
-737.82178218	0.00035968
-737.78877888	0.00036528
-737.75577558	0.00035207
-737.72277228	0.00035649
-737.68976898	0.00030947
-737.65676568	0.00033979
-737.62376238	0.00037152
-737.59075908	0.00036988
-737.55775578	0.00033008
-737.52475248	0.00043451
-737.49174917	0.00038613
-737.45874587	0.00020760
-737.42574257	0.00028651
-737.39273927	0.00025996
-737.35973597	0.00029279
-737.32673267	0.00028687
-737.29372937	0.00021451
-737.26072607	0.00024843
-737.22772277	0.00029549
-737.19471947	0.00033675
-737.16171617	0.00033654
-737.12871287	0.00031569
-737.09570957	0.00029683
-737.06270627	0.00023054
-737.02970297	0.00030847
-736.99669967	0.00029423
-736.96369637	0.00025142
-736.93069307	0.00027490
-736.89768977	0.00027555
-736.86468647	0.00028368
-736.83168317	0.00025297
-736.79867987	0.00025874
-736.76567657	0.00019085
-736.73267327	0.00024422
-736.69966997	0.00020722
-736.66666667	0.00021996
-736.63366337	0.00013506
-736.60066007	0.00022212
-736.56765677	0.00015019
-736.53465347	0.00016585
-736.50165017	0.00009469
-736.46864686	0.00013613
-736.43564356	0.00001641
-736.40264026	0.00004747
-736.36963696	0.00013268
-736.33663366	0.00002413
-736.30363036	0.00003507
-736.27062706	-0.00007154
-736.23762376	-0.00004603
-736.20462046	-0.00005803
-736.17161716	0.00000234
-736.13861386	-0.00003991
-736.10561056	-0.00005341
-736.07260726	-0.00008427
-736.03960396	-0.00003270
-736.00660066	-0.00004511
-735.97359736	-0.00017633
-735.94059406	-0.00027265
-735.90759076	-0.00008048
-735.87458746	0.00000583
-735.84158416	-0.00007954
-735.80858086	-0.00011372
-735.77557756	-0.00019699
-735.74257426	-0.00017958
-735.70957096	-0.00009328
-735.67656766	-0.00011192
-735.64356436	-0.00003835
-735.61056106	-0.00004421
-735.57755776	-0.00005081
-735.54455446	-0.00009594
-735.51155116	-0.00007580
-735.47854785	-0.00002116
-735.44554455	-0.00001426
-735.41254125	0.00010093
-735.37953795	0.00006644
-735.34653465	0.00011499
-735.31353135	0.00011945
-735.28052805	0.00015062
