# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -740.00000000 ps, Average over 1000 waveforms. Timestamp: 2026-02-03T15:22:19
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-732.34323432	0.00148570
-732.31023102	0.00166373
-732.27722772	0.00173985
-732.24422442	0.00182908
-732.21122112	0.00198090
-732.17821782	0.00204806
-732.14521452	0.00211236
-732.11221122	0.00208977
-732.07920792	0.00211424
-732.04620462	0.00188687
-732.01320132	0.00174971
-731.98019802	0.00154639
-731.94719472	0.00102856
-731.91419142	0.00054074
-731.88118812	-0.00028688
-731.84818482	-0.00112454
-731.81518152	-0.00209073
-731.78217822	-0.00326667
-731.74917492	-0.00424133
-731.71617162	-0.00527579
-731.68316832	-0.00607595
-731.65016502	-0.00663248
-731.61716172	-0.00694317
-731.58415842	-0.00680777
-731.55115512	-0.00650855
-731.51815182	-0.00579931
-731.48514851	-0.00486336
-731.45214521	-0.00366728
-731.41914191	-0.00267498
-731.38613861	-0.00143975
-731.35313531	-0.00037386
-731.32013201	0.00044619
-731.28712871	0.00124814
-731.25412541	0.00178573
-731.22112211	0.00227046
-731.18811881	0.00254380
-731.15511551	0.00268809
-731.12211221	0.00279334
-731.08910891	0.00285323
-731.05610561	0.00263840
-731.02310231	0.00250165
-730.99009901	0.00244059
-730.95709571	0.00226983
-730.92409241	0.00225396
-730.89108911	0.00203848
-730.85808581	0.00183490
-730.82508251	0.00169206
-730.79207921	0.00147153
-730.75907591	0.00127531
-730.72607261	0.00124160
-730.69306931	0.00110106
-730.66006601	0.00104161
-730.62706271	0.00101739
-730.59405941	0.00098967
-730.56105611	0.00095797
-730.52805281	0.00094950
-730.49504950	0.00070479
-730.46204620	0.00068130
-730.42904290	0.00065243
-730.39603960	0.00045670
-730.36303630	0.00017822
-730.33003300	0.00012344
-730.29702970	0.00004959
-730.26402640	-0.00021751
-730.23102310	-0.00034454
-730.19801980	-0.00043191
-730.16501650	-0.00042091
-730.13201320	-0.00047539
-730.09900990	-0.00040312
-730.06600660	-0.00018460
-730.03300330	0.00001962
